fare_id,route_id,origin_id,destination_id
150,1,1_01,2_01
150,1,1_01,3_01
150,1,1_01,4_01
150,1,1_01,5_01
150,1,1_01,6_01
150,1,10_01,11_01
150,1,10_01,12_01
150,1,10_02,9_02
150,1,11_01,10_02
150,1,11_01,12_01
150,1,11_01,13_01
150,1,11_01,14_01
150,1,11_01,9_02
150,1,12_01,13_01
150,1,12_01,14_01
150,1,12_01,15_01
150,1,12_02,10_02
150,1,12_02,11_01
150,1,12_02,9_02
150,1,13_01,14_01
150,1,13_01,15_01
150,1,13_01,16_01
150,1,13_01,17_01
150,1,13_02,11_01
150,1,13_02,12_02
150,1,14_01,15_01
150,1,14_01,16_01
150,1,14_01,17_01
150,1,14_01,18_01
150,1,14_02,11_01
150,1,14_02,12_02
150,1,14_02,13_02
150,1,15_01,16_01
150,1,15_01,17_01
150,1,15_01,18_01
150,1,15_01,19_01
150,1,15_02,12_02
150,1,15_02,13_02
150,1,15_02,14_02
150,1,16_01,17_01
150,1,16_01,18_01
150,1,16_01,19_01
150,1,16_02,13_02
150,1,16_02,14_02
150,1,16_02,15_02
150,1,17_01,18_01
150,1,17_01,19_01
150,1,17_02,13_02
150,1,17_02,14_02
150,1,17_02,15_02
150,1,17_02,16_02
150,1,18_01,14_02
150,1,18_01,15_02
150,1,18_01,16_02
150,1,18_01,17_02
150,1,18_01,19_01
150,1,19_01,15_02
150,1,19_01,16_02
150,1,19_01,17_02
150,1,19_01,18_01
150,1,2_01,3_01
150,1,2_01,4_01
150,1,2_01,5_01
150,1,2_01,6_01
150,1,2_02,1_01
150,1,3_01,4_01
150,1,3_01,5_01
150,1,3_01,6_01
150,1,3_01,7_01
150,1,3_02,1_01
150,1,3_02,2_02
150,1,4_01,5_01
150,1,4_01,6_01
150,1,4_01,7_01
150,1,4_01,8_01
150,1,4_02,1_01
150,1,4_02,2_02
150,1,4_02,3_02
150,1,5_01,6_01
150,1,5_01,7_01
150,1,5_01,8_01
150,1,5_02,1_01
150,1,5_02,2_02
150,1,5_02,3_02
150,1,5_02,4_02
150,1,6_01,7_01
150,1,6_01,8_01
150,1,6_02,1_01
150,1,6_02,2_02
150,1,6_02,3_02
150,1,6_02,4_02
150,1,6_02,5_02
150,1,7_01,8_01
150,1,7_01,9_01
150,1,7_02,3_02
150,1,7_02,4_02
150,1,7_02,5_02
150,1,7_02,6_02
150,1,8_01,9_01
150,1,8_02,4_02
150,1,8_02,5_02
150,1,8_02,6_02
150,1,8_02,7_02
150,1,9_01,10_01
150,1,9_01,11_01
150,1,9_01,12_01
150,1,9_02,7_02
150,1,9_02,8_02
200,1,1_01,7_01
200,1,1_01,8_01
200,1,10_01,13_01
200,1,10_01,14_01
200,1,10_01,15_01
200,1,10_01,16_01
200,1,10_02,6_02
200,1,10_02,7_02
200,1,10_02,8_02
200,1,11_01,15_01
200,1,11_01,16_01
200,1,11_01,17_01
200,1,11_01,7_02
200,1,11_01,8_02
200,1,12_01,16_01
200,1,12_01,17_01
200,1,12_01,18_01
200,1,12_02,8_02
200,1,13_01,18_01
200,1,13_01,19_01
200,1,13_02,10_02
200,1,13_02,9_02
200,1,14_01,19_01
200,1,14_02,10_02
200,1,15_02,10_02
200,1,15_02,11_01
200,1,16_02,10_02
200,1,16_02,11_01
200,1,16_02,12_02
200,1,17_02,11_01
200,1,17_02,12_02
200,1,18_01,12_02
200,1,18_01,13_02
200,1,19_01,13_02
200,1,19_01,14_02
200,1,2_01,7_01
200,1,2_01,8_01
200,1,3_01,8_01
200,1,4_01,9_01
200,1,5_01,9_01
200,1,6_01,10_01
200,1,6_01,9_01
200,1,7_01,10_01
200,1,7_01,11_01
200,1,7_02,1_01
200,1,7_02,2_02
200,1,8_01,10_01
200,1,8_01,11_01
200,1,8_01,12_01
200,1,8_02,1_01
200,1,8_02,2_02
200,1,8_02,3_02
200,1,9_01,13_01
200,1,9_02,4_02
200,1,9_02,5_02
200,1,9_02,6_02
250,1,1_01,9_01
250,1,10_01,17_01
250,1,10_01,18_01
250,1,10_02,2_02
250,1,10_02,3_02
250,1,10_02,4_02
250,1,10_02,5_02
250,1,11_01,18_01
250,1,11_01,19_01
250,1,11_01,4_02
250,1,11_01,5_02
250,1,11_01,6_02
250,1,12_01,19_01
250,1,12_02,5_02
250,1,12_02,6_02
250,1,12_02,7_02
250,1,13_02,7_02
250,1,13_02,8_02
250,1,14_02,8_02
250,1,14_02,9_02
250,1,15_02,9_02
250,1,16_02,9_02
250,1,17_02,10_02
250,1,17_02,9_02
250,1,18_01,10_02
250,1,18_01,11_01
250,1,19_01,11_01
250,1,19_01,12_02
250,1,2_01,10_01
250,1,2_01,9_01
250,1,3_01,10_01
250,1,3_01,9_01
250,1,4_01,10_01
250,1,4_01,11_01
250,1,5_01,10_01
250,1,5_01,11_01
250,1,5_01,12_01
250,1,6_01,11_01
250,1,6_01,12_01
250,1,7_01,12_01
250,1,7_01,13_01
250,1,8_01,13_01
250,1,8_01,14_01
250,1,9_01,14_01
250,1,9_01,15_01
250,1,9_01,16_01
250,1,9_01,17_01
250,1,9_02,1_01
250,1,9_02,2_02
250,1,9_02,3_02
300,1,1_01,10_01
300,1,1_01,11_01
300,1,1_01,12_01
300,1,10_01,19_01
300,1,10_02,1_01
300,1,11_01,1_01
300,1,11_01,2_02
300,1,11_01,3_02
300,1,12_02,1_01
300,1,12_02,2_02
300,1,12_02,3_02
300,1,12_02,4_02
300,1,13_02,3_02
300,1,13_02,4_02
300,1,13_02,5_02
300,1,13_02,6_02
300,1,14_02,4_02
300,1,14_02,5_02
300,1,14_02,6_02
300,1,14_02,7_02
300,1,15_02,5_02
300,1,15_02,6_02
300,1,15_02,7_02
300,1,15_02,8_02
300,1,16_02,6_02
300,1,16_02,7_02
300,1,16_02,8_02
300,1,17_02,7_02
300,1,17_02,8_02
300,1,18_01,8_02
300,1,18_01,9_02
300,1,19_01,10_02
300,1,19_01,9_02
300,1,2_01,11_01
300,1,2_01,12_01
300,1,3_01,11_01
300,1,3_01,12_01
300,1,3_01,13_01
300,1,4_01,12_01
300,1,4_01,13_01
