trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1平日_04時45分_系統121,04:45:00,04:45:00,7_01,1,芳賀・高根沢工業団地,0,1,1
1平日_04時45分_系統121,04:47:00,04:47:00,8_01,2,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,04:51:00,04:51:00,9_01,3,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,04:54:00,04:54:00,10_01,4,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,04:57:00,04:57:00,11_01,5,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,05:00:00,05:00:00,12_01,6,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,05:04:00,05:04:00,13_01,7,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,05:06:00,05:06:00,14_01,8,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,05:08:00,05:08:00,15_01,9,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,05:10:00,05:10:00,16_01,10,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,05:12:00,05:12:00,17_01,11,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,05:17:00,05:17:00,18_01,12,芳賀・高根沢工業団地,0,0,1
1平日_04時45分_系統121,05:20:00,05:20:00,19_01,13,芳賀・高根沢工業団地,1,0,1
1平日_05時10分_系統121,05:10:00,05:10:00,7_01,1,芳賀・高根沢工業団地,0,1,1
1平日_05時10分_系統121,05:12:00,05:12:00,8_01,2,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:16:00,05:16:00,9_01,3,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:19:00,05:19:00,10_01,4,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:22:00,05:22:00,11_01,5,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:25:00,05:25:00,12_01,6,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:29:00,05:29:00,13_01,7,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:31:00,05:31:00,14_01,8,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:33:00,05:33:00,15_01,9,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:35:00,05:35:00,16_01,10,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:37:00,05:37:00,17_01,11,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:42:00,05:42:00,18_01,12,芳賀・高根沢工業団地,0,0,1
1平日_05時10分_系統121,05:45:00,05:45:00,19_01,13,芳賀・高根沢工業団地,1,0,1
1平日_05時25分_系統112,05:25:00,05:25:00,19_01,1,宇都宮駅東口,0,1,1
1平日_05時25分_系統112,05:27:00,05:27:00,18_01,2,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:30:00,05:30:00,17_02,3,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:32:00,05:32:00,16_02,4,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:34:00,05:34:00,15_02,5,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:36:00,05:36:00,14_02,6,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:38:00,05:38:00,13_02,7,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:42:00,05:42:00,12_02,8,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:45:00,05:45:00,11_01,9,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:47:00,05:47:00,10_02,10,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:50:00,05:50:00,9_02,11,宇都宮駅東口,0,0,1
1平日_05時25分_系統112,05:55:00,05:55:00,8_02,12,宇都宮駅東口,0,0,1
